"...1","Raiko Arozarena
Las Vegas Lights FC","Nicholas Ammeter
Las Vegas Lights FC","Edison Azcona
Las Vegas Lights FC","Younes Boudadi
Las Vegas Lights FC","Shaft Brewer
Las Vegas Lights FC","Ashish Chattha
Las Vegas Lights FC","Vaughn Covil
Las Vegas Lights FC","Orrin McKinze Gaines II
Las Vegas Lights FC","Coleman Gannon
Las Vegas Lights FC","Joseph-Claude Gyau
Las Vegas Lights FC","Elias Gärtig
Las Vegas Lights FC","Anthony Herbert
Las Vegas Lights FC","Maliek Howell
Las Vegas Lights FC","Turner Humphrey
Las Vegas Lights FC","Nathaniel Jones
Las Vegas Lights FC","Patrick Leal
Las Vegas Lights FC","Carver Miller
Las Vegas Lights FC","Gennaro Michael Nigro
Las Vegas Lights FC","Valentin Noël
Las Vegas Lights FC","Rory O'Driscoll
Las Vegas Lights FC","Christopher Pearson
Las Vegas Lights FC","Daouda Peeters
Las Vegas Lights FC","Nighte Pickering
Las Vegas Lights FC","Christian Pinzon
Las Vegas Lights FC","Johnny Rodriguez
Las Vegas Lights FC","Jack Singer
Las Vegas Lights FC","Shawn Smart
Las Vegas Lights FC","Stefan Stojanovic
Las Vegas Lights FC"
"Blocks","0.0","0.0","0.0","4.0","0.0","1.0","1.0",2,"0.0",1,"22.0","5.0","12.0","0.0","5.0","3.0","0.0","3.0",2,"0.0","3.0","4.0",1,1,2,"8.0",2,"0.0"
"Interceptions","0.0","0.0","8.0","12.0","1.0","0.0","1.0",0,"1.0",1,"11.0","1.0","14.0","0.0","6.0","12.0","0.0","16.0",4,"2.0","1.0","162.0",41,341,201,"135.0",11,"0.0"
"Successful passes","268.0","59.0","122.0","343.0","58.0","17.0","24.0",87,"55.0",195,"718.0","137.0","617.0","5.0","334.0","383.0","0.0","498.0",508,"121.0","266.0","90.5",71.9,87.4,73.6,"79.4",212,"86.0"
"Passing accuracy","64.1","78.7","73.5","81.1","84.1","73.9","64.9",86.1,"83.3",85.2,"86.1","84.6","92.4","83.3","86.8","87.6","-","81.8",84.1,"78.6","82.9","90.1",59.6,80.6,61.8,"59.6",81.9,"66.7"
"Passing accuracy in opponents' half (%)","30.3","28.6","66.0","67.3","67.9","42.9","39.1",73.3,"65.9",75,"62.8","70.8","81.3","50.0","72.2","83.2","-","60.2",74.4,"78.4","72.3","0.0",3,14,13,"1.0",69.8,"57.4"
"Successful dribbles","1.0","0.0","10.0","4.0","1.0","0.0","4.0",7,"4.0",10,"2.0","1.0","7.0","0.0","3.0","8.0","0.0","6.0",17,"0.0","5.0","4.0",5,10,38,"2.0",8,"2.0"
"Fouls won","5.0","0.0","20.0","12.0","3.0","0.0","1.0",8,"9.0",13,"11.0","4.0","8.0","0.0","4.0","13.0","0.0","27.0",24,"12.0","4.0","9.0",6,8,27,"5.0",29,"7.0"
"Fouls conceded","1.0","0.0","18.0","23.0","3.0","1.0","10.0",6,"4.0",10,"30.0","7.0","13.0","0.0","14.0","22.0","0.0","26.0",19,"10.0","8.0","0.0",0,0,0,"0.0",14,"15.0"
"Penalties conceded","1.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0",0,"1.0","0.0","0.0",1,1,4,"3.0",1,"0.0"
"Yellow cards","1.0","0.0","3.0","6.0","2.0","0.0","3.0",2,"1.0",0,"7.0","2.0","3.0","0.0","4.0","2.0","0.0","5.0",5,"2.0","2.0","0.0",0,0,0,"0.0",2,"0.0"
"Red cards","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","1.0",NA,NA,NA,NA,NA,0,"0.0"
